account_id,account_age_days
burst_fraudster_0@upi,5
burst_fraudster_1@upi,5
burst_fraudster_2@upi,5
burst_fraudster_3@upi,5
burst_fraudster_4@upi,5
burst_receiver_0@upi,365
burst_receiver_1@upi,365
burst_receiver_2@upi,365
burst_receiver_3@upi,365
burst_receiver_4@upi,365
device_ring0_bot0@upi,10
device_ring0_bot1@upi,10
device_ring0_bot2@upi,10
device_ring1_bot0@upi,10
device_ring1_bot1@upi,10
device_ring1_bot2@upi,10
device_ring2_bot0@upi,10
device_ring2_bot1@upi,10
device_ring2_bot2@upi,10
device_ring3_bot0@upi,10
device_ring3_bot1@upi,10
device_ring3_bot2@upi,10
fraudster_chain0@upi,20
fraudster_chain1@upi,20
fraudster_chain2@upi,20
fraudster_ring1_0@upi,20
fraudster_ring1_1@upi,20
fraudster_ring1_2@upi,20
fraudster_ring1_3@upi,20
fraudster_ring1_4@upi,20
isolated_fraudster_0@upi,20
isolated_fraudster_10@upi,20
isolated_fraudster_11@upi,20
isolated_fraudster_12@upi,20
isolated_fraudster_13@upi,20
isolated_fraudster_14@upi,20
isolated_fraudster_15@upi,20
isolated_fraudster_16@upi,20
isolated_fraudster_17@upi,20
isolated_fraudster_18@upi,20
isolated_fraudster_19@upi,20
isolated_fraudster_1@upi,20
isolated_fraudster_20@upi,20
isolated_fraudster_21@upi,20
isolated_fraudster_22@upi,20
isolated_fraudster_23@upi,20
isolated_fraudster_24@upi,20
isolated_fraudster_25@upi,20
isolated_fraudster_26@upi,20
isolated_fraudster_27@upi,20
isolated_fraudster_28@upi,20
isolated_fraudster_29@upi,20
isolated_fraudster_2@upi,20
isolated_fraudster_3@upi,20
isolated_fraudster_4@upi,20
isolated_fraudster_5@upi,20
isolated_fraudster_6@upi,20
isolated_fraudster_7@upi,20
isolated_fraudster_8@upi,20
isolated_fraudster_9@upi,20
legit_friend_0@upi,180
legit_friend_10@upi,180
legit_friend_11@upi,180
legit_friend_12@upi,180
legit_friend_13@upi,180
legit_friend_14@upi,180
legit_friend_15@upi,180
legit_friend_16@upi,180
legit_friend_17@upi,180
legit_friend_18@upi,180
legit_friend_19@upi,180
legit_friend_1@upi,180
legit_friend_2@upi,180
legit_friend_3@upi,180
legit_friend_4@upi,180
legit_friend_5@upi,180
legit_friend_6@upi,180
legit_friend_7@upi,180
legit_friend_8@upi,180
legit_friend_9@upi,180
legit_user_0@upi,200
legit_user_10@upi,200
legit_user_11@upi,200
legit_user_12@upi,200
legit_user_13@upi,200
legit_user_14@upi,200
legit_user_15@upi,200
legit_user_16@upi,200
legit_user_17@upi,200
legit_user_18@upi,200
legit_user_19@upi,200
legit_user_1@upi,200
legit_user_20@upi,200
legit_user_21@upi,200
legit_user_22@upi,200
legit_user_23@upi,200
legit_user_24@upi,200
legit_user_25@upi,200
legit_user_26@upi,200
legit_user_27@upi,200
legit_user_28@upi,200
legit_user_29@upi,200
legit_user_2@upi,200
legit_user_30@upi,200
legit_user_31@upi,200
legit_user_32@upi,200
legit_user_33@upi,200
legit_user_34@upi,200
legit_user_35@upi,200
legit_user_36@upi,200
legit_user_37@upi,200
legit_user_38@upi,200
legit_user_39@upi,200
legit_user_3@upi,200
legit_user_40@upi,200
legit_user_41@upi,200
legit_user_42@upi,200
legit_user_43@upi,200
legit_user_44@upi,200
legit_user_45@upi,200
legit_user_46@upi,200
legit_user_47@upi,200
legit_user_48@upi,200
legit_user_49@upi,200
legit_user_4@upi,200
legit_user_5@upi,200
legit_user_6@upi,200
legit_user_7@upi,200
legit_user_8@upi,200
legit_user_9@upi,200
money_sink_account@upi,5
mule_aggregator_main@upi,1
mule_chain0_0@upi,15
mule_chain0_1@upi,15
mule_chain0_2@upi,15
mule_chain0_3@upi,15
mule_chain1_0@upi,15
mule_chain1_1@upi,15
mule_chain1_2@upi,15
mule_chain1_3@upi,15
mule_chain2_0@upi,15
mule_chain2_1@upi,15
mule_chain2_2@upi,15
mule_chain2_3@upi,15
unknown_merchant_0@upi,400
unknown_merchant_10@upi,400
unknown_merchant_11@upi,400
unknown_merchant_12@upi,400
unknown_merchant_13@upi,400
unknown_merchant_14@upi,400
unknown_merchant_15@upi,400
unknown_merchant_16@upi,400
unknown_merchant_17@upi,400
unknown_merchant_18@upi,400
unknown_merchant_19@upi,400
unknown_merchant_1@upi,400
unknown_merchant_20@upi,400
unknown_merchant_21@upi,400
unknown_merchant_22@upi,400
unknown_merchant_23@upi,400
unknown_merchant_24@upi,400
unknown_merchant_25@upi,400
unknown_merchant_26@upi,400
unknown_merchant_27@upi,400
unknown_merchant_28@upi,400
unknown_merchant_29@upi,400
unknown_merchant_2@upi,400
unknown_merchant_3@upi,400
unknown_merchant_4@upi,400
unknown_merchant_5@upi,400
unknown_merchant_6@upi,400
unknown_merchant_7@upi,400
unknown_merchant_8@upi,400
unknown_merchant_9@upi,400
